state,county,cluster,(pop.15_19+pop.20_24+pop.25_29),emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AK,aleutians east,23,0.20841300205768,0.0188017845761632,58224.0199275362,0.17144678138942,60,747,0,0,3138,0,0,0,0.000444987111653778,4.72746182574576e-05,1.39636955636956,0.148347752091902,NA,NA,NA,NA,NA,NA,DUI & DWI
AK,aleutians west,4,0.196941439881761,0.020514733308467,81135.3135313531,0.0897053338306602,91,1666,2.5,0,5362,2.5,0.000466243938828795,0,0.000716237608405071,9.74028014302502e-05,3.84046605626799,0.522273821269001,0,0,0,0,0,0,DUI & DWI
AK,anchorage,15,0.240174166969473,0.0385163127912998,81223.2938567888,0.0821635912671373,5728,196727,182.666666666667,43.6666666666667,293512,226.333333333333,0.000771121226162247,0.000148773020069594,0.00102613365936729,0.000165965886753209,301.182542628212,48.7129793527078,436.415899843139,544.710645757534,0,0,436.415899843139,544.710645757534,DUI & DWI
AK,bethel,7,0.245573789769896,0.0762896300217634,56646.8778231878,0.238809481795189,530,2030,1.33333333333333,0,17001,1.33333333333333,7.84267592102425e-05,0,0.00058188401112045,7.28137666561491e-05,9.89261007305877,1.23790684692119,0,0,0,0,0,0,DUI & DWI
AK,bristol bay,4,0.187322611485336,0.0312204351939451,79137.9213483146,0.0709555345316935,46,565,1,0,1057,1,0.000946073793755913,0,0.000716237608405071,9.74028014302502e-05,1,0.102954761111774,0,0,0,0,0,0,DUI & DWI
AK,denali,4,0.13469156742558,0.0186757215619694,79982.7027027027,0.143180531975099,15,1756,1,0,1767,1,0.000565930956423316,0,0.000716237608405071,9.74028014302502e-05,1.26559185405176,0.172110750127252,0,0,0,0,0,0,DUI & DWI
AK,dillingham,7,0.240973798260367,0.072209614194347,57193.5706973768,0.183618733237054,85,926,2.33333333333333,1,4847,3.33333333333333,0.000687710611374734,0.00020631318341242,0.00058188401112045,7.28137666561491e-05,3.33333333333333,1,0,0,0,0,0,0,DUI & DWI
AK,fairbanks north star,4,0.265424006678513,0.0423494469479721,71322.3668778628,0.0783387955755838,1308,76804,31.6666666666667,8.33333333333333,97640,40,0.000409668168783286,8.53475351631845e-05,0.000716237608405071,9.74028014302502e-05,69.9334400846711,9.51040953164963,0,0,0,0,0,0,DUI & DWI
AK,haines,12,0.131821676,0.0392006149116065,56944,0.0772482705611068,85,2088,3.5,0,2602,3.5,0.00134511913912375,0,0.000474738765371271,4.00817668042807e-05,3.5,0.104292757224738,0,0,0,0,0,0,DUI & DWI
AK,hoonah angoon,14,0.165936739696837,0.0768856447688565,50519.255733945,0.151338199513382,47,1053,1,0,2055,1,0.00048661800486618,0,0.000388223065459418,4.00272185085858e-05,1,0.0822559340351439,0,0,0,0,0,0,DUI & DWI
AK,juneau,4,0.206362909690488,0.0329656274980016,84347.6968901288,0.0644604316546763,727,22354,9.33333333333333,1,31275,10.3333333333333,0.000330402344790834,3.19744204636291e-05,0.000716237608405071,9.74028014302502e-05,22.4003312028686,3.04627261473107,17.5,17.5,0,0,17.5,17.5,DUI & DWI
AK,kenai peninsula,10,0.185385753677154,0.0483049929600347,63522.6983754513,0.0927470305787213,979,47751,13,4,55398,17,0.000306870284125781,7.22047727354778e-05,0.000632395869696096,7.609153304148e-05,35.0334663894243,4.21531874743191,51.0423130931177,51.0423130931177,14.1422021333486,14.1422021333486,65.1845152264663,65.1845152264663,DUI & DWI
AK,ketchikan gateway,10,0.203043060103996,0.0457936332077701,61526.4,0.114262500923259,216,9388,4.33333333333333,1,13539,5.33333333333333,0.000393923726518453,7.38606987222099e-05,0.000632395869696096,7.609153304148e-05,8.56200767981544,1.0302032658486,0,0,0,0,0,0,DUI & DWI
AK,kodiak island,4,0.223212312881287,0.0283526032844834,70110.2574514039,0.114662346269976,458,7606,2,0,13579,2,0.000147286250828485,0,0.000716237608405071,9.74028014302502e-05,9.72579048453246,1.32263264062137,0,0,0,0,0,0,DUI & DWI
AK,lake and peninsula,1,0.243606138118286,0.0537084398976982,49706.6105860113,0.167519181585678,49,313,1,0,1564,1,0.000639386189258312,0,0.000615160045876342,8.67613087943432e-05,1,0.135694686954353,0,0,0,0,0,0,DUI & DWI
AK,matanuska susitna,10,0.20061419368072,0.0507441195990866,71543.1625483962,0.104367976422151,1702,79117,34.3333333333333,3,88897,37.3333333333333,0.000419961678496837,3.37469205934958e-05,0.000632395869696096,7.609153304148e-05,56.2180956283738,6.76430901278845,34.9886714067638,48.0040389077151,0,0,34.9886714067638,48.0040389077151,DUI & DWI
AK,nome,7,0.243152128107775,0.0819637589549094,52202.004973357,0.277602191319005,476,1690,1.33333333333333,0,9492,1.33333333333333,0.00014046916701784,0,0.00058188401112045,7.28137666561491e-05,5.52324303355531,0.691148273100167,0,0,0,0,0,0,DUI & DWI
AK,north slope,15,0.256540413349733,0.0790055967720942,76139.6515301086,0.12208772614864,261,1951,2,0,7683,2,0.000260314981127164,0,0.00102613365936729,0.000165965886753209,7.88378490491889,1.2751159079249,0,0,0,0,0,0,DUI & DWI
AK,northwest arctic,11,0.261597766770703,0.105675927156719,69290.2173006774,0.22770171474146,245,921,2.5,0,7523,2.5,0.000332314236341885,0,0.000261643118785976,0,2.5,0,0,0,0,0,0,0,DUI & DWI
