state,county,cluster,mar.yes,hh.married_couple,hh.median_income,fer.birth_count,fer.unmarried_birth_pml,emp.no,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AK,aleutians east,2,1457,192,58224.0199275362,23,35.5940783190067,59,0,1,3138,1,0.000318674314850223,0.000318674314850223,0.000706333456661397,0.000191256830601093,2.21647438700346,1,0,0,0,0,0,0,Divorce & Separation
AK,aleutians west,8,1829,451,81135.3135313531,55,24.3480662983425,110,2,1,5362,3,0.000559492726594554,0.000186497575531518,0.000681759935904613,0.000183923099932898,3.65559677632054,1,0,0,0,0,0,0,Divorce & Separation
AK,anchorage,18,113750,51596,81223.2938567888,4861,31.0802728846916,11305,187,122.333333333333,293512,309.333333333333,0.00105390353148537,0.000416791590576649,0.00103308105194601,0.000294345883171443,309.333333333333,122.333333333333,1167.88788549656,1167.88788549656,0,0,1167.88788549656,1167.88788549656,Divorce & Separation
AK,bethel,10,4659,2027,56646.8778231878,358,85.0665926748058,1297,1.33333333333333,0,17001,1.33333333333333,7.84267592102425e-05,0,0.000390225523440444,7.75113683340223e-05,6.63422412401098,1.31777077304671,3.05944647174544,3.05944647174544,0,0,3.05944647174544,3.05944647174544,Divorce & Separation
AK,bristol bay,8,413,190,79137.9213483146,8,9.50103092783505,33,1,0,1057,1,0.000946073793755913,0,0.000681759935904613,0.000183923099932898,1,0.194406716629074,0,0,0,0,0,0,Divorce & Separation
AK,denali,5,797,355,79982.7027027027,39,47.2955974842767,33,0,0,1767,0,0,0,0.000567351334718055,0.000121124031007752,1.0025098084468,0.214026162790698,NA,NA,NA,NA,NA,NA,Divorce & Separation
AK,dillingham,10,1430,601,57193.5706973768,141,103.694275802255,350,1,0,4847,1,0.00020631318341242,0,0.000390225523440444,7.75113683340223e-05,1.89142311211583,0.375697602315006,0,0,0,0,0,0,Divorce & Separation
AK,fairbanks north star,8,39844,18336,71322.3668778628,1632,25.6347890258725,4135,32.6666666666667,4,97640,36.6666666666667,0.000375529154718012,4.09668168783286e-05,0.000681759935904613,0.000183923099932898,66.5670401417264,17.9582514774482,47.5849732406704,75.2020120527677,0,0,47.5849732406704,75.2020120527677,Divorce & Separation
AK,haines,13,1085,475,56944,30,4,102,0,0,2602,0,0,0,0.000469648937419279,0.000111278028153341,1.22202653516496,0.289545429254994,NA,NA,NA,NA,NA,NA,Divorce & Separation
AK,hoonah angoon,16,907,410,50519.255733945,20,38.6609989373007,158,0,0,2055,0,0,0,0.000426491196003168,0.000113756447446018,0.876439407786511,0.233769499501567,NA,NA,NA,NA,NA,NA,Divorce & Separation
AK,juneau,5,12517,5840,84347.6968901288,532,54.1008156606852,1031,9,2.5,31275,11.5,0.000367705835331735,7.99360511590727e-05,0.000567351334718055,0.000121124031007752,17.7439129933072,3.78815406976744,6.30589929816172,6.30589929816172,0,0,6.30589929816172,6.30589929816172,Divorce & Separation
AK,kenai peninsula,2,24093,11296,63522.6983754513,644,39.8073669435909,2676,9,5,55398,14,0.000252716704574172,9.02559659193473e-05,0.000706333456661397,0.000191256830601093,39.1294608321281,10.5952459016393,45.8141583118469,45.8141583118469,27.3052375437744,27.3052375437744,73.1193958556213,73.1193958556213,Divorce & Separation
AK,ketchikan gateway,2,5347,2418,61526.4,117,33.9276595744681,620,5.66666666666667,0,13539,5.66666666666667,0.000418543959425856,0,0.000706333456661397,0.000191256830601093,9.56304866973866,2.5894262295082,8.22478292660972,8.22478292660972,0,0,8.22478292660972,8.22478292660972,Divorce & Separation
AK,kodiak island,5,5716,2543,70110.2574514039,209,66.4037558685446,385,3,1,13579,4,0.00029457250165697,7.36431254142426e-05,0.000567351334718055,0.000121124031007752,7.70406377413647,1.64474321705426,1.54543125759488,1.54543125759488,0,0,1.54543125759488,1.54543125759488,Divorce & Separation
AK,lake and peninsula,10,450,202,49706.6105860113,24,72.2928475033738,84,0,0,1564,0,0,0,0.000390225523440444,7.75113683340223e-05,0.610312718660854,0.121227780074411,NA,NA,NA,NA,NA,NA,Divorce & Separation
AK,matanuska susitna,8,38123,17685,71543.1625483962,1107,35.3588501141499,4511,30.3333333333333,9,88897,39.3333333333333,0.000442459625559168,0.000101240761780488,0.000681759935904613,0.000183923099932898,60.6064130221124,16.3502118147349,98.196550980106,137.100897970867,6.99951687405842,9.7726451613363,105.196067854164,146.873543132203,Divorce & Separation
AK,nome,24,2400,1062,52202.004973357,257,117.080739738385,778,3,1,9492,4,0.000421407501053519,0.00010535187526338,0.000492032852655085,0.000110680686220255,4.67037583740207,1.05058107360266,0,0,0,0,0,0,Divorce & Separation
AK,north slope,5,2493,736,76139.6515301086,189,116.441088516746,607,1,0,7683,1,0.000130157490563582,0,0.000567351334718055,0.000121124031007752,4.35896030463882,0.930595930232558,7.06420519741731,7.06420519741731,0,0,7.06420519741731,7.06420519741731,Divorce & Separation
