state,county,cluster,age_male,emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white+eth.asian,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AK,aleutians east,10,41.7759445241511,0.0188017845761632,58224.0199275362,0.17144678138942,60,1818,2,0,3138,2,0.000637348629700446,0,0.00134017678927859,0.000211193241816262,4.2054747647562,0.66272439281943,0,0,0,0,0,0,Criminal Defense
AK,aleutians west,19,41.0526182432432,0.020514733308467,81135.3135313531,0.0897053338306602,91,3606,5,1,5362,6,0.00111898545318911,0.000186497575531518,0.0032507531399542,0.000613054946513885,17.4305383364344,3.28720062320745,0,0,0,0,0,0,Criminal Defense
AK,anchorage,19,33.3217132551848,0.0385163127912998,81223.2938567888,0.0821635912671373,5728,222025,675.666666666667,183.666666666667,293512,859.333333333333,0.00292776218121689,0.000625755221819437,0.0032507531399542,0.000613054946513885,954.135055614236,183.666666666667,2191.30383129009,2377.75981217357,120.664242222729,130.931449042678,2311.96807351282,2508.69126121625,Criminal Defense
AK,bethel,3,26.7547683310841,0.0762896300217634,56646.8778231878,0.238809481795189,530,2225,6.33333333333333,1.33333333333333,17001,7.66666666666667,0.000450953865458895,7.84267592102425e-05,0.00290729085064426,0.000619892927585235,49.4268517518031,10.5387996618766,0.674299099449569,0.674299099449569,0,0,0.674299099449569,0.674299099449569,Criminal Defense
AK,bristol bay,19,42.4374125874126,0.0312204351939451,79137.9213483146,0.0709555345316935,46,572,2.5,2,1057,4.5,0.00425733207190161,0.00189214758751183,0.0032507531399542,0.000613054946513885,4.5,2,0,0,0,0,0,0,Criminal Defense
AK,denali,19,44.2586419753086,0.0186757215619694,79982.7027027027,0.143180531975099,15,1852,1,0,1767,1,0.000565930956423316,0,0.0032507531399542,0.000613054946513885,5.74408079829907,1.08326809049003,0,0,0,0,0,0,Criminal Defense
AK,dillingham,3,29.2814639905549,0.072209614194347,57193.5706973768,0.183618733237054,85,982,2.66666666666667,1,4847,3.66666666666667,0.000756481672512207,0.00020631318341242,0.00290729085064426,0.000619892927585235,14.0916387530727,3.00462102000564,9.82620607633186,9.82620607633186,0,0,9.82620607633186,9.82620607633186,Criminal Defense
AK,fairbanks north star,20,32.2774142879305,0.0423494469479721,71322.3668778628,0.0783387955755838,1308,79469,123.333333333333,24.3333333333333,97640,147.666666666667,0.00151235832309163,0.000249214802676499,0.00261398321631508,0.000471344176363041,255.229321241004,46.0220453800873,189.321170441122,288.343331286856,0,0,189.321170441122,288.343331286856,Criminal Defense
AK,haines,5,47.2,0.0392006149116065,56944,0.0772482705611068,85,2137,2.5,0,2602,2.5,0.000960799385088393,0,0.00192588747899963,0.000332958754734257,5.01115922035704,0.866358679818538,0,0,0,0,0,0,Criminal Defense
AK,hoonah angoon,8,47.1614003590664,0.0768856447688565,50519.255733945,0.151338199513382,47,1095,1,0,2055,1,0.00048661800486618,0,0.00187044187044187,0.000395143776329954,3.84375804375804,0.812020460358056,0,0,0,0,0,0,Criminal Defense
AK,juneau,19,37.7957304075235,0.0329656274980016,84347.6968901288,0.0644604316546763,727,24305,34.6666666666667,10.6666666666667,31275,45.3333333333333,0.00144950706101785,0.000341060484945377,0.0032507531399542,0.000613054946513885,101.667304452067,19.1732934522217,176.732432092447,326.838200461645,0,0,176.732432092447,326.838200461645,Criminal Defense
AK,kenai peninsula,20,40.4148224678858,0.0483049929600347,63522.6983754513,0.0927470305787213,979,48419,37,10,55398,47,0.000848406079641864,0.000180511931838695,0.00261398321631508,0.000471344176363041,144.809442217423,26.1115246821597,108.006050313314,251.459515752852,14.4614733023159,33.6691793017533,122.46752361563,285.128695054605,Criminal Defense
AK,ketchikan gateway,20,38.2503233223164,0.0457936332077701,61526.4,0.114262500923259,216,10230,16.6666666666667,5,13539,21.6666666666667,0.00160031513898121,0.00036930349361105,0.00261398321631508,0.000471344176363041,35.3907187656899,6.38152880377921,8.92554592079328,8.92554592079328,0,0,8.92554592079328,8.92554592079328,Criminal Defense
AK,kodiak island,20,32.165113367645,0.0283526032844834,70110.2574514039,0.114662346269976,458,10519,8.66666666666667,2.5,13579,11.1666666666667,0.000822348233792375,0.000184107813535606,0.00261398321631508,0.000471344176363041,35.4952780943425,6.40038257083373,0,0,12,12,12,12,Criminal Defense
AK,lake and peninsula,3,33.5498177399757,0.0537084398976982,49706.6105860113,0.167519181585678,49,331,2,0,1564,2,0.00127877237851662,0,0.00290729085064426,0.000619892927585235,4.54700289040763,0.969512538743308,0,0,0,0,0,0,Criminal Defense
AK,matanuska susitna,20,34.6605207630898,0.0507441195990866,71543.1625483962,0.104367976422151,1702,80411,134.333333333333,28,88897,162.333333333333,0.0018260833698925,0.000314971258872628,0.00261398321631508,0.000471344176363041,232.375265980762,41.9010832461452,106.736528359141,140.889128213187,47.758153225306,63.0393800175431,154.494681584447,203.92850823073,Criminal Defense
AK,nome,3,28.1747133254251,0.0819637589549094,52202.004973357,0.277602191319005,476,1782,6.66666666666667,1,9492,7.66666666666667,0.000807697710352578,0.00010535187526338,0.00290729085064426,0.000619892927585235,27.5960047543154,5.88402366863905,0,0,0,0,0,0,Criminal Defense
