state,county,cluster,hh.median_income,emp.military,eth.white,hh.families,(pop.25_29+pop.20_24+pop.15_19+pop.10_14+pop.5_9),others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
AK,aleutians east,18,58224.0199275362,4,747,348,0.269598470662524,0,0,3138,0,0,0,0.000482998454404946,0.000185696095076401,1.51564914992272,0.582714346349745,NA,NA,NA,NA,NA,NA,Real Estate
AK,aleutians west,5,81135.3135313531,16,1666,645,0.281424841319284,1,0,5362,1,0.000186497575531518,0,0.000409462994358886,0.000117998741346759,2.19554057575235,0.632709251101322,0,0,0,0,0,0,Real Estate
AK,anchorage,4,81223.2938567888,8593,196727,69978,0.38007304699597,62,40.6666666666667,293512,102.666666666667,0.000349786947949885,0.00013855197288924,0.000458308718844156,0.000142525513043037,134.519108685386,41.8329483842878,152.572583662484,179.917550334676,4.32403433379274,5.09901350704018,156.896617996276,185.016563841716,Real Estate
AK,bethel,13,56646.8778231878,3,2030,3322,0.447385447966649,2,1,17001,3,0.000176460208223046,5.88200694076819e-05,0.000364208059924366,0.000113292471235234,6.19190122677415,1.92608530347021,0,0,0,0,0,0,Real Estate
AK,bristol bay,5,79137.9213483146,6,565,273,0.318826868731315,0,0,1057,0,0,0,0.000409462994358886,0.000117998741346759,0.432802385037342,0.124724669603524,NA,NA,NA,NA,NA,NA,Real Estate
AK,denali,5,79982.7027027027,39,1756,405,0.260894170846633,2,0,1767,2,0.00113186191284663,0,0.000409462994358886,0.000117998741346759,2,0.208503775959723,0,0,0,0,0,0,Real Estate
AK,dillingham,13,57193.5706973768,0,926,914,0.418609449312977,0,0,4847,0,0,0,0.000364208059924366,0.000113292471235234,1.7653164664534,0.549128608077177,NA,NA,NA,NA,NA,NA,Real Estate
AK,fairbanks north star,4,71322.3668778628,5793,76804,23058,0.401515772316561,11.6666666666667,4,97640,15.6666666666667,0.000160453366106787,4.09668168783286e-05,0.000458308718844156,0.000142525513043037,44.7492633079434,13.9161910935221,0,0,0,0,0,0,Real Estate
AK,haines,18,56944,0,2088,681,0.240968486,1.5,0,2602,1.5,0.000576479631053036,0,0.000482998454404946,0.000185696095076401,1.5,0.483181239388795,0,0,0,0,0,0,Real Estate
AK,hoonah angoon,9,50519.255733945,3,1053,540,0.268613138934307,0,0,2055,0,0,0,0.000297934938457814,8.99139074336323e-05,0.612256298530808,0.184773079776114,NA,NA,NA,NA,NA,NA,Real Estate
AK,juneau,5,84347.6968901288,123,22354,7890,0.333717025988329,8.33333333333333,1.66666666666667,31275,10,0.000319744204636291,5.32907007727152e-05,0.000409462994358886,0.000117998741346759,12.8059551485742,3.69041063561989,0,0,0,0,0,0,Real Estate
AK,kenai peninsula,8,63522.6983754513,134,47751,14112,0.31528213951204,4.66666666666667,1,55398,5.66666666666667,0.000102290094708594,1.80511931838695e-05,0.000313229236816965,9.26894506163848e-05,17.3522732611862,5.13481018524649,0,0,1.66666666666667,4.59324880443164,1.66666666666667,4.59324880443164,Real Estate
AK,ketchikan gateway,12,61526.4,227,9388,3215,0.331339093694438,1.5,1,13539,2.5,0.000184651746805525,7.38606987222099e-05,0.000378843017158043,0.000112753657637232,5.12915560930274,1.52657177075048,0,0,0,0,0,0,Real Estate
AK,kodiak island,12,70110.2574514039,824,7606,3492,0.378010162909861,1,0,13579,1,7.36431254142426e-05,0,0.000378843017158043,0.000112753657637232,5.14430932998906,1.53108191705597,0,0,0,0,0,0,Real Estate
AK,lake and peninsula,13,49706.6105860113,0,313,341,0.404092071671356,0,0,1564,0,0,0,0.000364208059924366,0.000113292471235234,0.569621405721709,0.177189425011905,NA,NA,NA,NA,NA,NA,Real Estate
AK,matanuska susitna,5,71543.1625483962,437,79117,22266,0.361047054438159,13,4.66666666666667,88897,17.6666666666667,0.000198731865717253,5.24952098121046e-05,0.000409462994358886,0.000117998741346759,36.4000318095219,10.4897341095028,17.8128122146018,33.0310323456052,3.87125435002632,7.17862660388701,21.6840665646282,40.2096589494922,Real Estate
AK,nome,13,52202.004973357,48,1690,2107,0.42804466904804,0,0,9492,0,0,0,0.000364208059924366,0.000113292471235234,3.45706290480208,1.07537213696484,0,0,0,0,0,0,Real Estate
AK,north slope,5,76139.6515301086,29,1951,1509,0.409215149790316,1,0,7683,1,0.000130157490563582,0,0.000409462994358886,0.000117998741346759,3.14590418565932,0.906584329767149,0,0,0,0,0,0,Real Estate
AK,northwest arctic,13,69290.2173006774,0,921,1475,0.445965704815366,1,0,7523,1,0.000132925694536754,0,0.000364208059924366,0.000113292471235234,2.73993723481101,0.852299261102662,0,0,0,0,0,0,Real Estate
AK,petersburg,8,58405.8947368421,15,2534,975,0.307467446631145,1,0,3763,1,0.000265745415891576,0,0.000313229236816965,9.26894506163848e-05,1.17868161814224,0.348790402669456,0,0,0,0,0,0,Real Estate
AK,prince of wales hyder,7,48051.323609845,6,2802,1353,0.312522620340934,1,0,5526,1,0.000180962721679334,0,0.000237561545682702,7.22560755316843e-05,1.31276510144261,0.399287073388087,0,0,0,0,0,0,Real Estate
AK,sitka,5,69552.4228827818,121,5924,2169,0.314935065223466,2,1,8932,3,0.000335871025526198,0.000111957008508733,0.000409462994358886,0.000117998741346759,3.65732346561357,1.05396475770925,0,0,0,0,0,0,Real Estate
AK,skagway,18,72868,0,792,208,0.242768595,0,0,968,0,0,0,0.000482998454404946,0.000185696095076401,0.467542503863988,0.179753820033956,NA,NA,NA,NA,NA,NA,Real Estate
AK,southeast fairbanks,5,66926.429389313,174,5724,1530,0.334078524369009,1,0,7157,1,0.000139723347771413,0,0.000409462994358886,0.000117998741346759,2.93052665062655,0.844516991818754,0,0,0,0,0,0,Real Estate
AK,valdez cordova,5,78209.603539823,83,7066,2200,0.323661413088508,1,2,9581,3,0.000313119716104791,0.000208746477403194,0.000409462994358886,0.000117998741346759,3.92306494895248,2,0,0,0,0,0,0,Real Estate
AK,wade hampton,19,41608.4893982808,47,317,1435,0.498056039785628,0,0,7459,0,0,0,0.00029487753153218,9.74943940723409e-05,2.19949150769853,0.72721068538559,NA,NA,NA,NA,NA,NA,Real Estate
AK,wrangell,7,48153,0,1685,632,0.286569718,0,0,2338,0,0,0,0.000237561545682702,7.22560755316843e-05,0.555418893806157,0.168934704593078,0,0,0,0,0,0,Real Estate
AK,yakutat,5,69306,0,229,160,0.320241693,0,0,662,0,0,0,0.000409462994358886,0.000117998741346759,0.271064502265582,0.0781151667715544,NA,NA,NA,NA,NA,NA,Real Estate
AK,yukon koyukuk,10,39613.1601963409,30,1240,1248,0.35952253703581,0,0,5613,0,0,0,0.000260317970744854,7.3882526782416e-05,1.46116476979087,0.414702622829701,NA,NA,NA,NA,NA,NA,Real Estate
AL,autauga,20,52103.8774758892,549,40574,13554,0.346567250284439,7.66666666666667,2.5,51635,10.1666666666667,0.000196894871049998,4.84167715696717e-05,0.000274232345313369,7.94028902652057e-05,14.1599871502558,4.09996823884389,0,0,0,0,0,0,Real Estate
AL,baldwin,8,51210.5217361567,281,165328,50532,0.300824885315148,45,12.3333333333333,182086,57.3333333333333,0.000314869530514885,6.77335617968066e-05,0.000313229236816965,9.26894506163848e-05,57.3333333333333,16.8774513049351,21.0130079856506,18.9117071870855,0,0,21.0130079856506,18.9117071870855,Real Estate
AL,barbour,11,34259.1939561525,0,12300,6152,0.320618008222021,3,1,28155,4,0.000142070680163381,3.55176700408453e-05,0.000150889303834474,4.82788586877806e-05,4.24828834945963,1.35929126635446,0,0,0,0,0,0,Real Estate
AL,bibb,16,38752.0439655172,5,18223,5573,0.322164617978962,4,3,23339,7,0.000299927160546724,0.000128540211662882,0.000202204023860075,6.03889045452715e-05,7,3,0,0,0,0,0,0,Real Estate
